"V160001","V160101","V160201","V160202","V161003","V161009","V161010d","V161010e","V161011","V161014","V161015a","V161015b","V161015c","V161015d","V161015e","V161017","V161019","V161020","V161021","V161021a","V161023","V161024x","V161026","V161027","V161028","V161030","V161031","V161032","V161033","V161034","V161035","V161036","V161037","V161038","V161039","V161040","V161041","V161042","V161043","V161044","V161045x","V161046","V161047","V161048","V161049","V161050","V161051","V161052","V161053","V161054","V161055","V161056","V161057","V161058","V161059","V161060","V161061","V161062","V161063","V161064x","V161065x","V161066x","V161067x","V161080","V161080x","V161086","V161087","V161095","V161096","V161132","V161133","V161134a","V161134b","V161135a","V161135b","V161145","V161146","V161147","V161148","V161149","V161150a","V161150b","V161151a","V161151b","V161151x","V161155","V161156","V161157","V161158x","V161136","V161267","V161267x","V161310x","V162031","V162031x","V162034","V162034a","V162046","V161220","V161264x","V161265x","V161270","V161330","V161331a","V161331b","V161331x","V161339","V161340","V161341"
2522,0.6254,56,1,1,1,10,"DE",1,-1,1,10,0,1,1,3,2,-1,1,4,-1,3,-1,-1,-1,1,2,1,-1,-1,-1,-1,-1,-1,1,-1,2,-1,-1,-1,21,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-9,-1,-1,-1,21,21,-1,-1,2,4,0,-99,15,50,20,-1,-1,-1,-1,-1,1,2,1,1,1,-1,2,1,-1,1,2,1,-1,7,1,78,13,1,4,1,1,2,-1,3,880,8,16,24,3,0,3,2,1,-1
2523,0.8275,57,2,2,3,47,"TN",1,-1,1,47,0,0,0,3,-1,-1,1,8,-1,3,-1,-1,-1,1,2,2,-1,-1,-1,-1,-1,-1,1,2,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21,21,-1,-1,1,2,0,60,31,62,20,-1,-1,-1,-1,-1,1,2,1,2,2,-1,2,2,-1,2,2,1,-1,7,1,27,3,1,-6,-2,-6,-6,-6,3,10,5,9,47,20,0,20,1,2,-1
2524,0.5926,59,2,2,1,40,"OK",1,-1,1,40,1,0,1,2,2,-1,1,5,-1,3,-1,-1,-1,1,6,2,-1,-1,-1,-1,-1,-1,1,2,-1,-1,-1,-1,11,-1,-1,-1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21,21,-1,2,4,0,60,0,71,20,-1,-1,-1,-1,-1,1,1,1,2,2,1,-1,1,-1,1,2,1,-1,7,3,42,6,5,4,1,1,2,1,2,727,7,13,40,7,0,7,1,1,-1
2525,0.806,60,2,2,3,20,"KS",1,-1,1,20,1,0,1,1,2,-1,1,4,-1,3,-1,-1,-1,1,2,1,-1,-1,-1,-1,-1,-1,1,2,-1,-1,-1,-1,11,-1,-1,-1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21,21,21,-1,2,4,0,80,0,100,10,1,40,60,20,80,1,2,1,2,2,-1,2,2,-1,2,2,1,-1,7,2,21,2,1,4,1,1,2,1,2,400,4,10,5,2,0,2,1,1,-1
2526,0.6717,63,2,4,4,55,"WI",1,-1,1,55,1,0,0,3,-1,-1,2,-1,-1,3,-1,-1,-1,1,2,2,-1,-1,-1,-1,-1,-1,1,2,-1,-1,-1,-1,11,-1,-1,-1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21,21,21,-1,2,3,2,40,13,72,10,1,40,43,35,57,3,2,1,2,2,1,-1,2,-1,2,2,1,-1,7,2,78,13,1,4,1,1,2,1,2,222,2,4,55,27,0,27,1,1,-1
2527,0.3885,65,2,1,1,39,"OH",1,-1,1,39,1,0,0,2,-1,-1,2,-1,-1,3,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,11,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,20,20,-1,2,4,70,0,70,15,10,1,59,41,52,48,1,1,2,1,1,-1,2,2,-1,2,3,-1,3,3,2,-9,-2,2,4,1,1,1,1,2,880,8,13,39,5,3,5,1,1,-1
2528,0.6776,66,1,4,-1,39,"OH",1,-1,1,39,1,0,0,3,-1,-1,2,-1,-1,3,-1,-1,-1,1,2,2,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,11,-1,-1,-1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21,-1,21,-1,2,3,0,60,50,50,20,-1,-1,-1,-1,-1,1,2,2,2,1,-1,2,1,-1,1,2,2,-1,6,2,83,13,1,4,1,1,2,1,2,10,5,9,39,7,0,7,1,2,-1
2529,1.4489,68,1,1,1,45,"SC",1,-1,1,45,1,0,0,1,-1,-1,1,1,-1,3,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,11,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,20,20,-1,2,4,90,0,90,15,10,1,49,38,44,43,1,1,2,1,1,-1,2,1,-1,1,1,1,-1,1,1,57,9,1,4,1,1,1,1,1,270,1,16,45,0,6,1,1,1,-1
2530,0.6083,72,1,2,1,49,"UT",1,-1,1,49,1,1,1,3,2,-1,1,5,-1,3,-1,-1,-1,1,6,2,-1,-1,-1,-1,-1,-1,1,2,-1,-1,-1,-1,31,-1,-1,-1,1,2,-1,-1,-1,-1,-1,-1,-1,1,2,-1,-1,-1,-1,-1,21,21,21,2,4,0,15,15,70,20,-1,-1,-1,-1,-1,1,2,1,2,1,-1,2,1,-1,1,2,1,-1,7,1,66,11,1,4,1,1,2,1,2,301,7,13,49,27,0,27,1,2,-1
2531,0.9652,73,2,2,2,25,"MA",1,-1,1,25,0,0,1,3,2,-1,2,-1,-1,3,-1,-1,-1,1,5,2,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,22,20,-1,-1,2,4,40,49,55,75,20,-1,-1,-1,-1,-1,2,1,1,1,2,-1,2,3,-1,3,2,2,-1,6,2,42,6,1,4,1,2,-1,-1,3,400,4,14,9,10,9,11,1,1,-1
2532,1.3459,74,2,1,1,36,"NY",1,-1,1,36,1,0,1,3,1,-1,1,1,-1,3,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,11,-1,-1,-1,1,-8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,20,-1,-1,2,4,60,0,60,0,10,1,60,40,65,35,1,1,1,1,2,1,-1,2,-1,2,1,2,-1,2,3,56,9,1,4,1,1,1,1,3,503,6,13,36,19,0,19,1,1,-1
2533,0.7438,75,1,1,1,18,"IN",1,-1,1,18,1,1,0,2,-1,-1,1,5,-1,3,-1,-1,-1,1,2,2,-1,-1,-1,-1,-1,-1,1,2,-1,-1,-1,-1,31,-1,-1,-1,1,2,-1,-1,-1,-1,-1,-1,-1,1,2,-1,-1,-1,-1,21,21,21,21,2,4,0,10,0,17,20,-1,-1,-1,-1,-1,2,2,1,2,2,-1,1,-1,1,7,2,2,-1,6,1,29,3,1,4,1,1,2,1,3,124,2,13,18,5,8,6,1,1,-1
2534,0.8045,75,2,1,1,18,"IN",1,-1,1,18,1,1,0,2,-1,-1,1,4,-1,3,-1,-1,-1,1,2,1,-1,-1,-1,-1,-1,-1,1,2,-1,-1,-1,-1,31,-1,-1,-1,1,2,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,21,21,21,20,2,4,30,100,0,70,20,-1,-1,-1,-1,-1,1,2,1,2,2,1,-1,1,-1,1,2,1,-1,7,1,77,13,1,4,1,1,2,1,1,400,4,13,17,15,0,15,1,1,-1
2535,2.7496,76,1,4,4,25,"MA",3,-1,-1,-1,-1,-1,-1,-1,-1,1,2,-1,-1,2,-1,-1,-1,1,2,1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21,-1,-1,-1,1,1,60,85,60,60,20,-1,-1,-1,-1,-1,2,2,1,1,1,2,-1,-1,1,7,3,-1,2,4,2,20,1,1,-6,-2,-6,-6,-6,1,400,4,9,25,20,6,20,1,1,-1
